"ID_EMPRESA";"NEMO";"NAME";"CATEGORY";"PRECIO_ULT"
"LOC1";"ITAUCL.SN";"Itaú CorpBanca";"LOCAL";23800
"LOC2";"LTM.SN";"Latam Airlines";"LOCAL";28,3500003814697
"LOC3";"SQM-B.SN";"SQM B (Soquimich B)";"LOCAL";67700
"LOC4";"FALABELLA.SN";"Falabella";"LOCAL";6784
"LOC5";"CHILE.SN";"Banco de Chile";"LOCAL";198,990005493164
"LOC6";"CENCOSUD.SN";"Cencosud";"LOCAL";2925
"LOC7";"BSANTANDER.SN";"Banco Santander Chile";"LOCAL";76,8899993896484
"LOC8";"COPEC.SN";"Empresas Copec";"LOCAL";7450
"LOC9";"MALLPLAZA.SN";"Mall Plaza";"LOCAL";3800
"LOC10";"ENELCHILE.SN";"Enel Chile";"LOCAL";74,1500015258789
"LOC11";"BCI.SN";"Banco de Crédito e Inversiones";"LOCAL";64993
"LOC12";"CCU.SN";"Cervecerías (CCU)";"LOCAL";6416,10009765625
"LOC13";"CMPC.SN";"Empresas CMPC";"LOCAL";1309
"LOC14";"ENELAM.SN";"Enel Américas";"LOCAL";82,5100021362305
"LOC15";"VAPORES.SN";"Vapores (CSAV)";"LOCAL";48,0499992370605
"LOC16";"ANDINA-B.SN";"Embotelladora Andina B";"LOCAL";4589,89990234375
"LOC17";"AGUAS-A.SN";"Aguas Andinas";"LOCAL";385
"LOC18";"PARAUCO.SN";"Parque Arauco";"LOCAL";3715
"LOC19";"SMU.SN";"SMU";"LOCAL";163,789993286133
"LOC20";"COLBUN.SN";"Colbún";"LOCAL";144,800003051758
"LOC21";"CAP.SN";"CAP";"LOCAL";8250
"LOC22";"CONCHATORO.SN";"Viña Concha y Toro";"LOCAL";996,119995117188
"LOC23";"ENTEL.SN";"Entel";"LOCAL";4690
"LOC24";"QUINENCO.SN";"Quiñenco";"LOCAL";4525
"LOC25";"RIPLEY.SN";"Ripley Corp";"LOCAL";439,5
"LOC26";"ECL.SN";"Engie Energía Chile";"LOCAL";1549,59997558594
"LOC27";"CENCOMALLS.SN";"Cencosud Shopping";"LOCAL";2799,89990234375
"LOC28";"SALFACORP.SN";"Salfacorp";"LOCAL";1439
"LOC29";"ILC.SN";"Inversiones La Construcción";"LOCAL";21799
"LOC30";"IAM.SN";"Inversiones Aguas Metropolitanas";"LOCAL";1109,5
"LOC31";"ORO-BLANCO.SN";"Oro Blanco";"LOCAL";10,1999998092651
"LOC32";"SONDA.SN";"Sonda";"LOCAL";335,019989013672
"LOC33";"ANDINA-A.SN";"Embotelladora Andina A";"LOCAL";3799,89990234375
"LOC34";"EMBONOR-B.SN";"Embonor B";"LOCAL";1541,30004882812
