"ID_CLIENTE";"AÑOMES_ENCUESTA";"FECHA_ENCUESTA";"NPS"
"1000-11";202307;2023-07-03;8
"1000-89";202507;2025-07-01;6
"1002-16";202508;2025-08-01;6
"1002-52";202504;2025-04-01;9
"1003-91";202511;2025-11-03;6
"1005-15";202404;2024-04-01;7
"1006-17";202510;2025-10-01;5
"1006-21";202412;2024-12-02;6
"1006-28";202407;2024-07-01;7
"1006-61";202503;2025-03-03;7
"1006-97";202405;2024-05-02;7
"1008-85";202502;2025-02-03;8
"1009-85";202507;2025-07-01;6
"1010-47";202510;2025-10-01;7
"1010-83";202410;2024-10-01;6
"1012-16";202507;2025-07-01;5
"1013-47";202509;2025-09-01;7
"1014-91";202409;2024-09-02;8
"1016-72";202312;2023-12-01;8
"1017-25";202510;2025-10-01;6
"1018-74";202411;2024-11-04;5
"1018-76";202308;2023-08-01;9
"1018-95";202512;2025-12-01;5
"1019-41";202512;2025-12-01;5
"1019-58";202307;2023-07-03;7
"1019-71";202406;2024-06-03;5
"1021-47";202408;2024-08-01;7
"1021-73";202501;2025-01-02;4
"1025-56";202307;2023-07-03;8
"1025-98";202511;2025-11-03;6
"1026-34";202306;2023-06-01;7
"1026-97";202305;2023-05-02;8
"1027-39";202508;2025-08-01;6
"1027-64";202207;2022-07-01;8
"1027-67";202401;2024-01-02;8
"1027-83";202510;2025-10-01;6
"1028-35";202302;2023-02-01;9
"1029-15";202505;2025-05-02;6
"1030-71";202510;2025-10-01;6
"1031-87";202503;2025-03-03;6
"1031-99";202408;2024-08-01;7
"1032-83";202411;2024-11-04;8
"1032-99";202509;2025-09-01;6
"1033-33";202406;2024-06-03;7
"1033-94";202502;2025-02-03;8
"1034-18";202502;2025-02-03;6
"1036-52";202409;2024-09-02;6
"1036-72";202311;2023-11-02;7
"1037-10";202401;2024-01-02;6
"1039-57";202506;2025-06-02;7
"1040-20";202306;2023-06-01;7
"1040-23";202410;2024-10-01;5
"1040-36";202506;2025-06-02;6
"1040-41";202507;2025-07-01;5
"1040-77";202312;2023-12-01;7
"1042-27";202505;2025-05-02;8
"1042-31";202507;2025-07-01;7
"1042-60";202210;2022-10-03;7
"1044-23";202508;2025-08-01;5
"1044-28";202408;2024-08-01;6
"1044-29";202402;2024-02-01;6
"1044-91";202207;2022-07-01;6
"1045-11";202508;2025-08-01;7
"1045-31";202509;2025-09-01;4
"1047-28";202306;2023-06-01;6
"1047-66";202305;2023-05-02;7
"1048-17";202510;2025-10-01;6
"1050-44";202401;2024-01-02;7
"1050-66";202412;2024-12-02;6
"1050-84";202506;2025-06-02;5
"1050-91";202510;2025-10-01;6
"1051-69";202304;2023-04-03;6
"1052-83";202510;2025-10-01;5
"1054-59";202405;2024-05-02;9
"1057-72";202406;2024-06-03;5
"1058-53";202406;2024-06-03;7
"1060-66";202412;2024-12-02;6
"1061-44";202510;2025-10-01;6
"1061-69";202508;2025-08-01;6
"1062-73";202208;2022-08-01;7
"1064-28";202312;2023-12-01;8
"1064-65";202410;2024-10-01;5
"1065-23";202309;2023-09-01;6
"1065-82";202509;2025-09-01;6
"1068-97";202504;2025-04-01;7
"1069-53";202507;2025-07-01;6
"1069-79";202205;2022-05-02;8
"1072-17";202311;2023-11-02;8
"1072-99";202409;2024-09-02;7
"1075-38";202301;2023-01-02;7
"1075-40";202508;2025-08-01;6
"1076-20";202511;2025-11-03;6
"1076-71";202510;2025-10-01;4
"1076-99";202306;2023-06-01;9
"1078-26";202402;2024-02-01;6
"1079-61";202303;2023-03-01;7
"1079-94";202311;2023-11-02;8
"1081-82";202411;2024-11-04;7
"1081-91";202408;2024-08-01;7
"1082-47";202508;2025-08-01;5
"1083-28";202505;2025-05-02;5
"1084-86";202501;2025-01-02;8
"1085-14";202503;2025-03-03;6
"1085-33";202211;2022-11-02;7
"1085-64";202402;2024-02-01;7
"1085-80";202301;2023-01-02;9
"1086-86";202407;2024-07-01;7
"1087-58";202505;2025-05-02;8
"1087-64";202205;2022-05-02;7
"1088-16";202410;2024-10-01;6
"1088-45";202311;2023-11-02;7
"1088-48";202311;2023-11-02;7
"1089-15";202203;2022-03-01;9
"1091-16";202501;2025-01-02;5
"1091-46";202409;2024-09-02;5
"1094-99";202410;2024-10-01;7
"1095-92";202306;2023-06-01;7
"1096-32";202509;2025-09-01;5
"1096-54";202503;2025-03-03;6
"1097-13";202306;2023-06-01;7
"1097-26";202211;2022-11-02;7
"1099-16";202503;2025-03-03;7
"1100-36";202304;2023-04-03;8
"1101-53";202411;2024-11-04;7
"1102-34";202406;2024-06-03;7
"1103-65";202401;2024-01-02;9
"1104-19";202510;2025-10-01;5
"1104-80";202209;2022-09-01;8
"1104-96";202506;2025-06-02;7
"1105-62";202512;2025-12-01;7
"1105-98";202501;2025-01-02;9
"1106-77";202502;2025-02-03;8
"1108-83";202408;2024-08-01;6
"1109-75";202504;2025-04-01;6
"1110-78";202406;2024-06-03;7
"1111-68";202312;2023-12-01;7
"1114-49";202309;2023-09-01;7
"1115-50";202503;2025-03-03;5
"1115-73";202305;2023-05-02;7
"1116-59";202407;2024-07-01;7
"1116-91";202402;2024-02-01;8
"1117-19";202401;2024-01-02;7
"1117-59";202407;2024-07-01;6
"1117-64";202401;2024-01-02;7
"1118-76";202308;2023-08-01;7
"1119-12";202508;2025-08-01;7
"1120-81";202511;2025-11-03;4
"1121-35";202510;2025-10-01;7
"1121-67";202305;2023-05-02;6
"1123-78";202506;2025-06-02;6
"1125-70";202404;2024-04-01;5
"1127-63";202206;2022-06-01;7
"1128-25";202512;2025-12-01;5
"1128-39";202510;2025-10-01;8
"1128-92";202404;2024-04-01;8
"1129-49";202510;2025-10-01;5
"1129-84";202406;2024-06-03;6
"1130-25";202405;2024-05-02;6
"1131-48";202512;2025-12-01;5
"1131-64";202509;2025-09-01;6
"1131-90";202302;2023-02-01;7
"1133-71";202408;2024-08-01;6
"1134-44";202402;2024-02-01;5
"1134-67";202406;2024-06-03;5
"1135-44";202409;2024-09-02;7
"1137-51";202307;2023-07-03;9
"1138-37";202510;2025-10-01;8
"1139-32";202302;2023-02-01;9
"1139-90";202504;2025-04-01;6
"1141-20";202405;2024-05-02;6
"1141-59";202302;2023-02-01;7
"1142-26";202308;2023-08-01;7
"1143-43";202408;2024-08-01;7
"1145-18";202507;2025-07-01;6
"1145-33";202512;2025-12-01;5
"1147-27";202202;2022-02-01;7
"1147-94";202507;2025-07-01;4
"1148-54";202412;2024-12-02;6
"1150-57";202502;2025-02-03;7
"1150-74";202412;2024-12-02;6
"1153-67";202204;2022-04-01;10
"1155-18";202501;2025-01-02;7
"1155-28";202305;2023-05-02;7
"1157-16";202506;2025-06-02;6
"1157-59";202511;2025-11-03;6
"1159-49";202204;2022-04-01;9
"1161-22";202308;2023-08-01;5
"1161-88";202310;2023-10-02;8
"1162-24";202511;2025-11-03;6
"1162-84";202510;2025-10-01;6
"1163-52";202503;2025-03-03;7
"1163-61";202412;2024-12-02;7
"1164-42";202411;2024-11-04;5
"1164-87";202505;2025-05-02;6
"1166-85";202407;2024-07-01;6
"1167-19";202510;2025-10-01;5
"1168-42";202510;2025-10-01;5
"1168-71";202504;2025-04-01;7
"1169-46";202301;2023-01-02;10
"1170-34";202506;2025-06-02;6
"1170-66";202510;2025-10-01;7
"1171-57";202507;2025-07-01;7
"1173-62";202502;2025-02-03;7
"1174-49";202505;2025-05-02;7
"1174-92";202512;2025-12-01;5
"1175-54";202404;2024-04-01;7
"1177-76";202411;2024-11-04;7
"1180-31";202410;2024-10-01;6
"1180-89";202412;2024-12-02;5
"1181-11";202410;2024-10-01;6
"1181-40";202503;2025-03-03;7
"1182-45";202210;2022-10-03;10
"1182-52";202411;2024-11-04;7
"1183-10";202504;2025-04-01;5
"1183-40";202503;2025-03-03;7
"1183-90";202412;2024-12-02;5
"1184-37";202412;2024-12-02;8
"1184-40";202404;2024-04-01;7
"1184-57";202511;2025-11-03;6
"1184-86";202501;2025-01-02;7
"1185-22";202512;2025-12-01;6
"1186-56";202504;2025-04-01;5
"1186-73";202307;2023-07-03;7
"1187-42";202506;2025-06-02;6
"1191-89";202509;2025-09-01;5
"1192-50";202201;2022-01-03;10
"1192-51";202309;2023-09-01;6
"1192-65";202403;2024-03-01;7
"1194-67";202509;2025-09-01;7
"1194-93";202403;2024-03-01;6
"1195-81";202512;2025-12-01;6
"1196-57";202305;2023-05-02;6
"1198-34";202407;2024-07-01;9
"1198-44";202308;2023-08-01;7
"1199-49";202503;2025-03-03;5
"1199-77";202510;2025-10-01;6
"1200-22";202507;2025-07-01;6
"1200-34";202405;2024-05-02;8
"1201-15";202302;2023-02-01;5
"1201-57";202304;2023-04-03;6
"1202-69";202208;2022-08-01;9
"1203-35";202409;2024-09-02;6
"1203-92";202504;2025-04-01;6
"1204-29";202502;2025-02-03;4
"1204-67";202408;2024-08-01;6
"1204-91";202511;2025-11-03;7
"1206-38";202506;2025-06-02;6
"1209-45";202305;2023-05-02;6
"1209-83";202508;2025-08-01;6
"1210-61";202512;2025-12-01;4
"1215-74";202512;2025-12-01;7
"1216-80";202509;2025-09-01;5
"1218-41";202311;2023-11-02;8
"1218-66";202512;2025-12-01;5
"1218-76";202401;2024-01-02;8
"1220-51";202512;2025-12-01;5
"1220-62";202503;2025-03-03;3
"1220-94";202412;2024-12-02;7
"1221-94";202503;2025-03-03;7
"1222-31";202310;2023-10-02;6
"1223-70";202506;2025-06-02;6
"1224-49";202412;2024-12-02;7
"1224-54";202503;2025-03-03;5
"1225-78";202405;2024-05-02;6
"1226-40";202305;2023-05-02;7
"1228-34";202405;2024-05-02;7
"1228-84";202512;2025-12-01;6
"1229-18";202512;2025-12-01;5
"1229-84";202303;2023-03-01;7
"1229-96";202510;2025-10-01;7
"1230-36";202205;2022-05-02;8
"1230-68";202503;2025-03-03;7
"1231-20";202509;2025-09-01;5
"1232-72";202503;2025-03-03;5
"1233-82";202507;2025-07-01;7
"1234-51";202506;2025-06-02;6
"1235-45";202508;2025-08-01;7
"1235-62";202508;2025-08-01;6
"1235-95";202505;2025-05-02;5
"1237-64";202412;2024-12-02;7
"1237-71";202511;2025-11-03;7
"1237-81";202507;2025-07-01;6
"1238-84";202509;2025-09-01;6
"1241-11";202411;2024-11-04;6
"1241-33";202512;2025-12-01;6
"1241-66";202510;2025-10-01;6
"1244-13";202512;2025-12-01;7
"1244-16";202511;2025-11-03;7
"1245-20";202511;2025-11-03;5
"1245-71";202301;2023-01-02;8
"1246-15";202302;2023-02-01;6
"1248-68";202310;2023-10-02;7
"1250-26";202204;2022-04-01;8
"1250-53";202502;2025-02-03;7
"1251-16";202308;2023-08-01;6
"1252-45";202409;2024-09-02;7
"1253-78";202505;2025-05-02;6
"1254-71";202504;2025-04-01;6
"1255-73";202408;2024-08-01;7
"1257-25";202503;2025-03-03;6
"1257-48";202405;2024-05-02;5
"1257-78";202402;2024-02-01;5
"1258-66";202501;2025-01-02;6
"1260-58";202406;2024-06-03;8
"1260-68";202511;2025-11-03;7
"1261-75";202504;2025-04-01;5
"1263-15";202411;2024-11-04;5
"1264-27";202507;2025-07-01;6
"1264-32";202512;2025-12-01;7
"1264-97";202410;2024-10-01;7
"1268-40";202512;2025-12-01;6
"1268-49";202504;2025-04-01;6
"1268-90";202304;2023-04-03;8
"1269-59";202510;2025-10-01;6
"1269-89";202509;2025-09-01;5
"1271-32";202502;2025-02-03;5
"1272-80";202509;2025-09-01;6
"1272-88";202407;2024-07-01;7
"1273-55";202512;2025-12-01;6
"1274-49";202506;2025-06-02;6
"1274-79";202512;2025-12-01;7
"1276-57";202512;2025-12-01;7
"1276-80";202301;2023-01-02;9
"1277-62";202511;2025-11-03;6
"1277-76";202209;2022-09-01;6
"1277-95";202405;2024-05-02;8
"1280-34";202211;2022-11-02;7
"1280-71";202505;2025-05-02;6
"1282-51";202204;2022-04-01;7
"1282-97";202403;2024-03-01;7
"1283-25";202506;2025-06-02;5
"1283-44";202510;2025-10-01;8
"1284-92";202510;2025-10-01;5
"1285-44";202205;2022-05-02;8
"1287-87";202407;2024-07-01;7
"1288-89";202501;2025-01-02;6
"1289-47";202212;2022-12-01;8
"1295-33";202507;2025-07-01;5
"1295-69";202310;2023-10-02;6
"1296-33";202511;2025-11-03;5
"1296-74";202312;2023-12-01;8
"1296-91";202407;2024-07-01;6
"1297-19";202502;2025-02-03;5
"1299-41";202503;2025-03-03;6
"1302-38";202407;2024-07-01;8
"1302-40";202509;2025-09-01;6
"1302-70";202512;2025-12-01;6
"1303-27";202501;2025-01-02;7
"1305-48";202505;2025-05-02;7
"1306-56";202509;2025-09-01;7
"1306-57";202304;2023-04-03;7
"1307-36";202508;2025-08-01;6
"1307-51";202411;2024-11-04;7
"1307-74";202306;2023-06-01;9
"1309-68";202404;2024-04-01;9
"1310-17";202505;2025-05-02;6
"1310-28";202508;2025-08-01;7
"1310-75";202407;2024-07-01;7
"1312-18";202401;2024-01-02;6
"1313-27";202304;2023-04-03;7
"1313-50";202405;2024-05-02;8
"1314-29";202406;2024-06-03;6
"1314-85";202507;2025-07-01;6
"1314-96";202208;2022-08-01;8
"1316-23";202312;2023-12-01;7
"1317-30";202410;2024-10-01;6
"1319-59";202512;2025-12-01;6
"1320-48";202501;2025-01-02;7
"1320-63";202502;2025-02-03;6
"1322-93";202409;2024-09-02;7
"1323-67";202511;2025-11-03;5
"1324-66";202501;2025-01-02;7
"1324-74";202504;2025-04-01;6
"1326-63";202507;2025-07-01;7
"1326-81";202311;2023-11-02;5
"1327-66";202304;2023-04-03;7
"1328-69";202512;2025-12-01;4
"1329-64";202302;2023-02-01;8
"1329-89";202508;2025-08-01;6
"1331-39";202506;2025-06-02;5
"1331-59";202412;2024-12-02;7
"1333-93";202506;2025-06-02;5
"1335-45";202507;2025-07-01;6
"1336-59";202209;2022-09-01;9
"1337-86";202506;2025-06-02;5
"1338-93";202508;2025-08-01;6
"1340-65";202304;2023-04-03;8
"1342-75";202511;2025-11-03;6
"1342-90";202509;2025-09-01;6
"1343-87";202404;2024-04-01;8
"1344-83";202412;2024-12-02;6
"1345-22";202506;2025-06-02;7
"1345-37";202407;2024-07-01;5
"1345-74";202506;2025-06-02;6
"1346-25";202407;2024-07-01;6
"1347-32";202502;2025-02-03;6
"1347-44";202509;2025-09-01;7
"1347-88";202309;2023-09-01;6
"1349-98";202512;2025-12-01;5
"1351-80";202401;2024-01-02;8
"1352-67";202202;2022-02-01;9
"1353-32";202505;2025-05-02;6
"1353-92";202411;2024-11-04;5
"1356-16";202508;2025-08-01;5
"1356-50";202207;2022-07-01;7
"1356-67";202512;2025-12-01;5
"1356-81";202508;2025-08-01;6
"1357-88";202502;2025-02-03;6
"1358-40";202511;2025-11-03;6
"1358-74";202207;2022-07-01;9
"1359-17";202202;2022-02-01;9
"1359-37";202501;2025-01-02;7
"1359-55";202511;2025-11-03;8
"1360-79";202406;2024-06-03;7
"1362-87";202405;2024-05-02;8
"1363-91";202310;2023-10-02;6
"1363-92";202402;2024-02-01;5
"1364-13";202207;2022-07-01;9
"1365-45";202511;2025-11-03;7
"1365-93";202306;2023-06-01;5
