"ID_CLIENTE";"NEMO"
"1000-89";"SQM-A.SN"
"1002-16";"INVERCAP.SN"
"1002-16";"COLBUN.SN"
"1002-16";"FALABELLA.SN"
"1002-16";"IAM.SN"
"1002-16";"CMPC.SN"
"1002-16";"LTM.SN"
"1002-52";"CMCSA"
"1002-52";"CAP.SN"
"1002-52";"ITAUCL.SN"
"1002-52";"T"
"1002-52";"COLBUN.SN"
"1002-52";"NVDA"
"1002-52";"WMB"
"1003-91";"MSFT"
"1003-91";"FALABELLA.SN"
"1003-91";"T"
"1003-91";"VAPORES.SN"
"1006-17";"BSANTANDER.SN"
"1006-17";"LTM.SN"
"1006-17";"COLBUN.SN"
"1006-17";"BCI.SN"
"1006-17";"ABC.SN"
"1006-17";"MALLPLAZA.SN"
"1006-17";"EMBONOR-B.SN"
"1006-17";"SOQUICOM.SN"
"1006-21";"VAPORES.SN"
"1006-21";"LRCX"
"1006-21";"ITAUCL.SN"
"1006-61";"PARAUCO.SN"
"1006-61";"ENTEL.SN"
"1006-61";"ENELAM.SN"
"1006-61";"MALLPLAZA.SN"
"1006-61";"SQM-B.SN"
"1006-61";"CENCOSUD.SN"
"1006-61";"ITAUCL.SN"
"1006-61";"LAS-CONDES.SN"
"1006-61";"RIPLEY.SN"
"1006-61";"CMPC.SN"
"1008-85";"SQM-A.SN"
"1008-85";"ANDINA-B.SN"
"1008-85";"CENCOSUD.SN"
"1009-85";"APA"
"1009-85";"BCI.SN"
"1009-85";"LTM.SN"
"1010-47";"MRNA"
"1012-16";"MALLPLAZA.SN"
"1012-16";"CMPC.SN"
"1013-47";"ZOFRI.SN"
"1013-47";"TSLA"
"1013-47";"AMZN"
"1013-47";"GM"
"1013-47";"AVGO"
"1017-25";"AGUAS-A.SN"
"1017-25";"CHILE.SN"
"1017-25";"SONDA.SN"
"1017-25";"COPEC.SN"
"1017-25";"COLBUN.SN"
"1017-25";"ITAUCL.SN"
"1017-25";"ENELCHILE.SN"
"1017-25";"ORO-BLANCO.SN"
"1017-25";"VAPORES.SN"
"1018-95";"FALABELLA.SN"
"1018-95";"QUINENCO.SN"
"1018-95";"PFE"
"1018-95";"CCU.SN"
"1018-95";"F"
"1018-95";"MSFT"
"1018-95";"BSANTANDER.SN"
"1018-95";"PG"
"1019-41";"PARAUCO.SN"
"1019-41";"ENTEL.SN"
"1019-41";"FALABELLA.SN"
"1019-41";"AGUAS-A.SN"
"1019-41";"LTM.SN"
"1021-73";"BA"
"1025-98";"SMU.SN"
"1025-98";"PARAUCO.SN"
"1025-98";"ITAUCL.SN"
"1025-98";"ILC.SN"
"1025-98";"COPEC.SN"
"1027-39";"ENELCHILE.SN"
"1027-39";"ANDINA-B.SN"
"1027-39";"ENELAM.SN"
"1027-39";"SALFACORP.SN"
"1027-39";"COPEC.SN"
"1027-39";"BSANTANDER.SN"
"1027-39";"ENELGXCH.SN"
"1027-83";"LTM.SN"
"1027-83";"HITES.SN"
"1027-83";"AGUAS-A.SN"
"1029-15";"BSANTANDER.SN"
"1029-15";"CCU.SN"
"1029-15";"CHILE.SN"
"1029-15";"LAS-CONDES.SN"
"1029-15";"ABC.SN"
"1029-15";"AGUAS-A.SN"
"1029-15";"COLBUN.SN"
"1029-15";"MALLPLAZA.SN"
"1029-15";"SQM-B.SN"
"1030-71";"CENCOSUD.SN"
"1030-71";"SQM-B.SN"
"1030-71";"INTC"
"1030-71";"SMU.SN"
"1030-71";"JPM"
"1030-71";"ENELAM.SN"
"1030-71";"ILC.SN"
"1030-71";"WBD"
"1030-71";"BAC"
"1031-87";"ENELGXCH.SN"
"1031-87";"FALABELLA.SN"
"1031-87";"BCI.SN"
"1031-87";"BESALCO.SN"
"1031-87";"VAPORES.SN"
"1031-87";"ENELCHILE.SN"
"1031-87";"CENCOSUD.SN"
"1032-99";"CAP.SN"
"1033-94";"TSLA"
"1033-94";"FALABELLA.SN"
"1033-94";"CMCSA"
"1033-94";"CCU.SN"
"1034-18";"SALFACORP.SN"
"1034-18";"CMPC.SN"
"1034-18";"AGUAS-A.SN"
"1034-18";"CAP.SN"
"1034-18";"LTM.SN"
"1034-18";"ITAUCL.SN"
"1034-18";"FALABELLA.SN"
"1039-57";"CENCOSUD.SN"
"1039-57";"SONDA.SN"
"1039-57";"BCI.SN"
"1040-36";"ANDINA-A.SN"
"1040-36";"MALLPLAZA.SN"
"1040-36";"BSANTANDER.SN"
"1040-36";"COPEC.SN"
"1040-36";"PARAUCO.SN"
"1040-36";"ENELCHILE.SN"
"1040-36";"ENELAM.SN"
"1040-36";"SMU.SN"
"1040-36";"ILC.SN"
"1040-36";"ENTEL.SN"
"1040-41";"SOCOVESA.SN"
"1040-41";"CENCOMALLS.SN"
"1040-41";"LTM.SN"
"1040-41";"CCU.SN"
"1040-41";"ENELAM.SN"
"1040-41";"SMU.SN"
"1040-41";"RIPLEY.SN"
"1040-41";"MALLPLAZA.SN"
"1040-41";"CENCOSUD.SN"
"1040-41";"COPEC.SN"
"1042-27";"CMPC.SN"
"1042-27";"COPEC.SN"
"1042-27";"GOOG"
"1042-27";"AAPL"
"1042-27";"SALFACORP.SN"
"1042-27";"T"
"1042-31";"SQM-A.SN"
"1042-31";"SMU.SN"
"1042-31";"ANDINA-B.SN"
"1042-31";"FALABELLA.SN"
"1042-31";"CHILE.SN"
"1044-23";"CMPC.SN"
"1044-23";"ABC.SN"
"1044-23";"ANDINA-B.SN"
"1044-23";"SOCOVESA.SN"
"1044-23";"COPEC.SN"
"1044-23";"CHILE.SN"
"1044-23";"MALLPLAZA.SN"
"1045-11";"ILC.SN"
"1045-11";"CCU.SN"
"1045-11";"ENELCHILE.SN"
"1045-31";"ANDINA-B.SN"
